DC1-A;DC2-A;DC3-A;DC4-A;DC5-A;age;gender;academic_level
I589;0;0;0;0;-0.063078612;2;2;2
I590;0;0.04751726;0;0;0;2;2;2
I591;0;0.040880852;0;0;0;2;2;2
I592;0.06714108;0;0;0;0;2;2;2
I593;0;-0.079190752;0;0;0;2;2;2
I594;0;-0.033413298;0;0;0;2;2;4
I595;-0.089946622;0;0;0;0;2;2;2
I596;0;-0.065393891;0;0;0;2;2;4
I597;-0.051759178;0;0;0;0;2;1;3
I598;0;0;-0.113425252;0;0;2;1;4
I599;0;0;0.067296137;0;0;2;2;2
I600;0;0;-0.075133042;0;0;2;2;2
I601;0;0;0;0.09568236;0;2;2;2
I602;0;0;0;0;-0.031974872;2;2;4
I603;0;0;0;0;0.072494082;2;2;4
I604;0;-0.062552899;0;0;0;2;1;3
I605;0;0;0;0;-0.036473315;2;2;3
I606;0;0;-0.083238237;0;0;2;1;4
I607;0;0;0.091506075;0;0;2;1;3
I608;0;0;0;0;0.043221189;2;2;3
I609;0.039801321;0;0;0;0;2;2;5
I610;0;0;0;0;-0.061879804;2;2;5
I611;0;0;0.102406489;0;0;2;1;5
I612;0;0;0;-0.076835458;0;2;1;2
I613;0;0;-0.101627631;0;0;2;1;4
I614;0;0.035966767;0;0;0;2;2;3
I615;0;0;0;0.128429547;0;2;1;3
I616;0;0;0;0;0.109318498;2;2;4
I617;0;0.068555956;0;0;0;2;1;4
I618;0;0.147225017;0;0;0;3;2;4
I619;0;0;0;-0.114794163;0;3;1;2
I620;0;-0.027346006;0;0;0;3;2;5
I621;0;0;0;0.077761675;0;3;2;4
I622;0;0;-0.045202879;0;0;3;2;2
I623;0;0.092178489;0;0;0;3;1;2
I624;0;-0.027364393;0;0;0;3;2;4
I625;0;0;0.030184828;0;0;3;2;3
I626;0;0.026479198;0;0;0;3;2;3
I627;0.106290979;0;0;0;0;3;1;2
I628;0;0.125742541;0;0;0;3;1;3
I629;0;0;0;0;-0.082496337;3;1;3
I630;-0.040793591;0;0;0;0;3;1;3
I631;0;0.078206614;0;0;0;3;1;3
I632;0.03575498;0;0;0;0;3;2;5
I633;0;0;0;0;-0.019270112;3;2;4
I634;0;0;0;0;0.055230222;3;1;4
I635;0;0;-0.091635749;0;0;3;2;3
I636;0;0.130357885;0;0;0;3;2;3
I637;0;0;0;0;-0.137902916;3;2;3
I638;-0.112943961;0;0;0;0;3;1;4
I639;0;0;0;-0.050510694;0;3;2;4
I640;0;-0.140183506;0;0;0;3;2;3
I641;0;0;0;0;0.041037262;3;2;1
I642;0;0;0;-0.096340637;0;3;2;1
I643;0;0;0;0;-0.089685787;3;2;1
I644;0;0.066300824;0;0;0;3;1;4
I645;0;0;0.114344576;0;0;3;2;4
I646;0;0;0;0;-0.156862427;3;1;3
I647;0;0;0.219732374;0;0;3;2;1
I648;0;0;0;-0.060049901;0;3;1;4
I649;0;0;0;0.089949078;0;3;2;4
I650;0;0.062281871;0;0;0;3;2;3
I651;0;0;0;0;0.044568395;3;2;3
I652;0;0;0;0;0.069073071;3;2;3
I653;0;0;0.069554667;0;0;3;1;4
I654;0;0;0;0;0.040075921;3;2;3
I655;0;0;0;0.100774113;0;3;2;4
I656;0;0;0.077077024;0;0;3;2;4
I657;0;0.076488285;0;0;0;3;2;2
I658;0;0;0;0;-0.036448584;3;2;2
I659;0;0;0.096715441;0;0;3;2;5
I660;0;0;0;0;0.0206493;3;1;5
I661;0;0;0.056381711;0;0;3;2;2
I662;0;0;-0.103795048;0;0;3;1;5
I663;-0.080657639;0;0;0;0;3;1;4
I664;0;0;0;-0.053771811;0;3;2;3
I665;0.075404132;0;0;0;0;3;1;3
I666;0;0;0;0;-0.067610372;3;1;2
I667;0.056529737;0;0;0;0;3;2;4
I668;0;0;-0.035817143;0;0;3;2;3
I669;0;0;0.072974059;0;0;3;2;3
I670;0;0;0;0.079780692;0;3;2;3
I671;0;-0.061357833;0;0;0;3;2;3
I672;0;-0.0885366;0;0;0;3;2;3
I673;0;0;0;0;-0.039123359;3;1;4
I674;0;0;0;0;-0.063072084;3;2;3
I675;0.060776558;0;0;0;0;3;1;3
I676;0;0;0.057593257;0;0;3;1;4
I677;0;-0.066605854;0;0;0;3;1;4
I678;0;-0.075085517;0;0;0;3;1;3
I679;0;0;0.082305078;0;0;3;2;4
I680;0;0;0;0.08959094;0;3;2;3
I681;0;0;0;-0.056872527;0;3;1;4
I682;0;0;0;0;-0.088208286;3;2;4
I683;0;-0.089194626;0;0;0;3;1;3
I684;0.114323036;0;0;0;0;3;2;3
I685;0;0;-0.081668545;0;0;3;2;3
I686;0;0;0;-0.071561508;0;3;1;3
I687;0;0;0;0;0.064311254;3;1;3
I688;0;0;0;-0.09464113;0;3;1;2
I689;-0.094888807;0;0;0;0;3;1;3
I690;-0.062921343;0;0;0;0;3;1;3
I691;0;0.13820077;0;0;0;3;1;2
I692;-0.081272249;0;0;0;0;3;2;5
I693;0;0;-0.061172841;0;0;3;2;3
I694;-0.118516043;0;0;0;0;3;2;3
I695;0;0;0.063453193;0;0;3;1;4
I696;0.072076222;0;0;0;0;3;2;3
I697;0;0.085367649;0;0;0;3;2;2
I698;0;0;0.088952739;0;0;3;2;3
I699;0;0.116166642;0;0;0;3;2;3
I700;0.025147471;0;0;0;0;3;2;5
I701;-0.09752579;0;0;0;0;3;1;4
I702;0;-0.067019195;0;0;0;3;2;3
I703;-0.071434571;0;0;0;0;3;2;3
I704;0;0.065135482;0;0;0;3;2;3
I705;-0.084459487;0;0;0;0;3;1;2
I706;0.032814191;0;0;0;0;3;1;5
I707;0;0;0.104603642;0;0;3;2;5
I708;0;0;0.100032294;0;0;3;1;5
I709;0;0;0;-0.10816869;0;3;2;5
I710;-0.137617437;0;0;0;0;3;1;4
I711;0;0;0;0;0.059452497;3;2;1
I712;0;0.131610078;0;0;0;3;1;1
