DC1-A;DC2-A;DC3-A;DC4-A;DC5-A;age;gender;academic_level
I135;0.121153532;0;0;0;0;1;2;3
I136;0;0;0;0.09519111;0;1;2;3
I137;0.058706945;0;0;0;0;1;2;4
I138;0;0;-0.109736286;0;0;1;2;3
I139;0;0;0;-0.105715484;0;1;2;4
I140;0;0;0;0.05133346;0;1;2;3
I141;0;0.071890027;0;0;0;1;2;3
I142;0;0;0;0;-0.0634644;1;2;3
I143;0;0;0;0;-0.087304193;1;2;4
I144;0;0.110599375;0;0;0;1;1;4
I145;-0.103509346;0;0;0;0;1;2;3
I146;0;0;-0.095120115;0;0;1;2;4
I147;0;0;0;0;0.08088674;1;2;4
I148;-0.092138873;0;0;0;0;1;1;3
I149;0;0;0;0;0.045226692;1;2;3
I150;-0.081186419;0;0;0;0;1;2;3
I151;0;0;0;0;-0.018625178;1;2;3
I152;0;0;0.048239754;0;0;1;2;5
I153;-0.081576993;0;0;0;0;1;2;4
I154;0;0;0;0;0.081806844;1;2;3
I155;0;0;0;-0.101301445;0;1;1;3
I156;0;0;0;0;-0.141067404;1;2;3
I157;-0.030839716;0;0;0;0;1;1;4
I158;-0.042975579;0;0;0;0;1;1;3
I159;-0.078639024;0;0;0;0;1;1;4
I160;0;0;0;0;0.091586538;1;1;4
I161;-0.095198943;0;0;0;0;1;2;3
I162;0;0;0;0;-0.119828936;1;1;4
I163;0;0;0;0;0.091274281;1;2;4
I164;0;0;0;0.118765965;0;1;1;3
I165;0.025544037;0;0;0;0;1;2;3
I166;0;0;0;0;0.149405631;1;2;4
I167;0;0;0;0;-0.088518254;1;2;3
I168;0;0;0;0;-0.040661901;1;1;3
I169;0;0;0;-0.152303966;0;1;1;3
I170;0;0;-0.054510522;0;0;1;1;4
I171;0;0;0;0.04898722;0;1;1;2
I172;0;0;0;0.047426285;0;1;1;3
I173;0;0;0.10439139;0;0;1;1;3
I174;0;0;-0.141155109;0;0;1;1;3
I175;0;0.10109672;0;0;0;1;1;3
I176;0;0;0;0.075086392;0;1;1;3
I177;0;0;0.105662738;0;0;1;1;4
I178;0.089807918;0;0;0;0;1;1;5
I179;0;0;0;0;-0.038548227;1;1;5
I180;0;0;0;-0.102758074;0;1;1;5
I181;0;-0.024634716;0;0;0;1;1;5
I182;0;0;0;-0.094924799;0;1;1;5
I183;0;0;0;0.103466169;0;1;1;5
I184;0;0;0;-0.057476031;0;1;1;4
I185;0.021372727;0;0;0;0;1;1;5
I186;0;-0.054403046;0;0;0;1;1;5
I187;0;0;-0.044972447;0;0;1;1;5
I188;0;0.105136459;0;0;0;1;1;5
I189;0;-0.044996711;0;0;0;1;1;5
I190;0;0;0;-0.095533042;0;1;1;5
I191;0.080938318;0;0;0;0;1;1;5
I192;-0.057108171;0;0;0;0;1;1;5
I193;-0.059148239;0;0;0;0;1;1;5
I194;0;0;0.076994158;0;0;1;1;5
I195;-0.049129103;0;0;0;0;1;1;5
I196;0;0;0;0;0.085534287;1;1;5
I197;0.110641231;0;0;0;0;1;1;3
I198;0.090692238;0;0;0;0;1;1;5
I199;0.068382998;0;0;0;0;1;1;5
I200;0;0;0;0;-0.076585559;1;1;5
I201;-0.069961148;0;0;0;0;1;1;5
I202;0;0;0;0;0.040359753;1;1;5
I203;0;0;-0.11413399;0;0;1;1;3
I204;0;0.111723793;0;0;0;1;2;3
I205;0;-0.100195036;0;0;0;1;1;5
I206;-0.078846153;0;0;0;0;1;1;3
I207;0.092412546;0;0;0;0;1;1;5
I208;0.106808368;0;0;0;0;1;1;5
I209;0;0;0;0;-0.095011533;1;1;5
I210;0.063329518;0;0;0;0;1;1;5
I211;-0.083641447;0;0;0;0;1;1;3
I212;0;0;-0.106820206;0;0;1;1;5
I213;0;0;0;0.062741706;0;1;1;5
I214;0;-0.095956428;0;0;0;1;2;3
I215;0;0.151363118;0;0;0;1;2;4
I216;0.074337672;0;0;0;0;1;2;3
I217;0;0;0;0.098346081;0;1;2;3
I218;0;0;0;0;0.109668687;1;2;4
I219;0;0;0;0;-0.036780868;1;2;4
I220;0;0;0.109347236;0;0;1;2;4
I221;0;-0.100368621;0;0;0;1;2;4
I222;0;0;0;-0.06290061;0;1;1;4
I223;0.030555702;0;0;0;0;1;2;3
I224;0;0;0.068708566;0;0;1;2;3
I225;0;0;0;0;0.050107032;1;1;4
I226;0;0;0;0;-0.091112417;1;1;4
I227;0;0;0;0.110238692;0;1;1;4
I228;0;-0.114481602;0;0;0;1;1;4
I229;0;0;0;0.098077145;0;1;1;4
I230;0;0;-0.048876391;0;0;1;1;4
I231;0;0;0;0.077407345;0;1;2;3
I232;0.090916112;0;0;0;0;1;1;3
I233;0;0;0.11197963;0;0;1;2;3
I234;-0.083939822;0;0;0;0;1;2;3
I235;-0.045059268;0;0;0;0;1;2;3
I236;0;0.040912713;0;0;0;1;1;3
I237;0;0;0;0;0.065010829;1;1;3
I238;-0.03992135;0;0;0;0;1;1;3
I239;0;0;0;0;0.050476902;1;1;3
I240;0.038498987;0;0;0;0;1;2;4
I241;0;0;0.115746709;0;0;1;2;4
I242;0;0;0;0;0.081922914;1;2;3
I243;0;0;-0.079218258;0;0;1;1;3
I244;0;0;-0.06017594;0;0;1;1;4
I245;0;-0.120251079;0;0;0;1;1;4
I246;0;0;-0.099140648;0;0;1;1;3
I247;0.110238312;0;0;0;0;1;1;3
I248;0;0;0;0;0.041537144;1;1;3
I249;0;0;0;0;0.044795827;1;2;4
I250;0.069704771;0;0;0;0;1;1;3
I251;0;0;0;0.094323918;0;1;1;3
I252;0.004728476;0;0;0;0;1;1;4
I253;0;0;0;0.162868623;0;1;2;3
I254;-0.093316916;0;0;0;0;1;2;3
I255;0;0;-0.103773344;0;0;1;2;4
I256;0;0;0.046719456;0;0;1;2;4
I257;0;0;0.045451226;0;0;1;2;3
I258;0;0;0;-0.037932712;0;1;2;4
I259;0;0;0;0;-0.052143603;1;2;3
I260;0.075407033;0;0;0;0;1;1;3
I261;0;0;-0.053572724;0;0;1;2;4
I262;0;0;-0.079046998;0;0;1;1;2
I263;0;0;0;0;-0.094769197;1;2;4
I264;0;0;0.089359316;0;0;1;1;5
I265;0;0;0;0;-0.037711389;1;1;5
I266;0;0;0;0;0.040895093;1;1;5
I267;0.089645024;0;0;0;0;1;1;3
I268;0;-0.067152672;0;0;0;1;1;3
I269;0;0;0.078993946;0;0;1;2;3
I270;0;0;0;0.038700376;0;1;1;4
I271;0;0.133498298;0;0;0;1;2;4
I272;0;0;0;0;-0.011066385;1;2;4
I273;-0.12983485;0;0;0;0;1;2;3
I274;0;0;-0.04768505;0;0;1;1;4
I275;0;0;0;-0.038060812;0;1;1;4
I276;0;0;0;0;0.105400285;1;2;4
I277;0;0.088613807;0;0;0;1;1;3
I278;-0.077626456;0;0;0;0;1;1;3
I279;0;0;0;0.088732847;0;1;2;4
I280;0;0;0;0;0.07555263;1;1;4
I281;0;0;0;0;0.09781145;1;1;4
I282;0;0;0.098859506;0;0;1;1;3
I283;0;0;0;-0.09755235;0;1;2;5
I284;0;0;-0.059975061;0;0;1;1;4
I285;0;-0.141736364;0;0;0;1;2;3
I286;0;0;0;0;0.041688266;1;2;3
I287;0;0;-0.11752746;0;0;1;1;4
I288;0;0;0;-0.058152562;0;1;2;3
I289;0;0;0;0;-0.073868325;1;2;3
I290;0;0;0;0.122209724;0;1;1;4
I291;0;0;0.033981837;0;0;1;2;3
I292;0;0;0;0;-0.017973101;1;2;3
I293;0;0;0;0;-0.080248462;1;1;4
I294;0;0;0;0.129179986;0;1;2;4
I295;0;0.106136142;0;0;0;1;2;4
I296;0;0.04297658;0;0;0;1;2;3
I297;-0.083554276;0;0;0;0;1;2;3
I298;0;0.104030471;0;0;0;1;1;4
I299;0;-0.008478704;0;0;0;1;2;3
I300;0;-0.095090502;0;0;0;1;1;4
I301;0;0;0;0;0.023043713;1;1;3
I302;0;0;0;-0.093527297;0;1;2;4
I303;0;0.092903891;0;0;0;1;1;4
I304;0;0.114447175;0;0;0;1;2;4
I305;0.030699938;0;0;0;0;1;2;4
I306;-0.039702283;0;0;0;0;1;2;3
I307;0;0.112749458;0;0;0;1;1;4
I308;0;0;-0.071602108;0;0;1;2;5
I309;0;0;0.108826244;0;0;1;2;4
I310;0;-0.03991686;0;0;0;1;2;4
I311;0;0;0;-0.108694653;0;1;1;4
I312;0;0;0;0;-0.044049894;1;2;2
I313;0;0;0.053759561;0;0;1;2;4
I314;0;0;0.076855749;0;0;1;2;4
I315;0.039383097;0;0;0;0;1;1;3
I316;0.089800271;0;0;0;0;1;1;3
I317;0;0;0.056743349;0;0;1;1;3
I318;0;0;0;0;-0.076716146;1;2;4
I319;0;0;0;-0.107919965;0;1;1;3
I320;0.080985753;0;0;0;0;1;1;4
I321;0;0.083750468;0;0;0;1;2;3
I322;0;0;0;0.012424469;0;1;1;3
I323;-0.080880185;0;0;0;0;1;1;3
I324;0;0;0;0;-0.03183812;1;2;4
I325;0;0;-0.105848965;0;0;1;2;3
I326;0;0;0;0;-0.055184811;1;2;3
I327;0;0;0;0.066297568;0;1;2;4
I328;0;0;0;0;0.036417263;1;1;3
I329;0;0;0.063160812;0;0;1;2;3
I330;-0.05297865;0;0;0;0;1;2;3
I331;0;0;0;0;0.155756218;1;2;3
I332;0;0;0;0;-0.041717734;1;1;3
I333;0;0.102762518;0;0;0;1;2;3
I334;0;0.075301863;0;0;0;1;2;4
I335;0;0;-0.046071943;0;0;1;2;3
I336;0;0;0;0;-0.039558035;1;2;4
I337;0;0;0;0.095238782;0;1;1;5
I338;-0.112380731;0;0;0;0;1;2;4
I339;0;0;0.051226738;0;0;1;1;4
I340;0;0;0;0.094921409;0;1;2;3
I341;0;0;0;0;0.068629187;1;1;2
I342;0.063934559;0;0;0;0;1;2;4
I343;0;0;0;0.089619944;0;1;1;4
I344;0;0;0;-0.108187512;0;1;1;4
I345;0;-0.045045256;0;0;0;1;1;4
I346;0;0.102237178;0;0;0;1;2;4
I347;0;0;-0.040178368;0;0;1;2;4
I348;0;0;0;0;-0.074627153;1;2;5
I349;0;0;0;-0.104394666;0;1;2;4
I350;0;0;-0.078152198;0;0;1;2;5
I351;0;0.101751784;0;0;0;1;2;3
I352;0;0;0.046742514;0;0;1;2;3
I353;0;0.103753839;0;0;0;1;1;2
I354;0;0;0;0;-0.040550688;1;2;3
I355;0;0;0;0;0.08201884;1;1;4
I356;0;0;0;-0.060404944;0;1;2;4
I357;0;0;0;0;-0.032495188;1;2;4
I358;-0.108450729;0;0;0;0;1;1;4
I359;0;0;0;-0.033260064;0;1;1;4
I360;0;-0.153884493;0;0;0;1;1;3
I361;0;0;0;-0.111026017;0;1;1;4
I362;0;0;0;0;-0.043918337;1;1;4
I363;0;0;0;-0.072040783;0;1;1;4
